run,split,class,threshold,tp,fp,precision,recall,f1
y26_p2k2_hi,val,backpack,0.001,2514,26462,0.0868,0.9584,0.1591
y26_p2k2_hi,val,backpack,0.005,2448,8955,0.2147,0.9333,0.3491
y26_p2k2_hi,val,backpack,0.01,2402,5797,0.2930,0.9157,0.4439
y26_p2k2_hi,val,backpack,0.02,2361,3834,0.3811,0.9001,0.5355
y26_p2k2_hi,val,backpack,0.03,2340,3038,0.4351,0.8921,0.5849
y26_p2k2_hi,val,backpack,0.05,2297,2230,0.5074,0.8757,0.6425
y26_p2k2_hi,val,backpack,0.07,2271,1833,0.5534,0.8658,0.6752
y26_p2k2_hi,val,backpack,0.1,2240,1497,0.5994,0.8540,0.7044
y26_p2k2_hi,val,backpack,0.12,2227,1336,0.6250,0.8490,0.7200
y26_p2k2_hi,val,backpack,0.15,2193,1141,0.6578,0.8361,0.7363
y26_p2k2_hi,val,backpack,0.2,2156,932,0.6982,0.8220,0.7550
y26_p2k2_hi,val,backpack,0.25,2118,775,0.7321,0.8075,0.7679
y26_p2k2_hi,val,backpack,0.3,2081,655,0.7606,0.7934,0.7766
y26_p2k2_hi,val,backpack,0.35,2025,560,0.7834,0.7720,0.7776
y26_p2k2_hi,val,backpack,0.4,1984,481,0.8049,0.7564,0.7799
y26_p2k2_hi,val,backpack,0.5,1908,347,0.8461,0.7274,0.7823
y26_p2k2_hi,val,backpack,0.6,1825,242,0.8829,0.6958,0.7783
y26_p2k2_hi,val,backpack,0.7,1689,144,0.9214,0.6439,0.7581
y26_p2k2_hi,test,backpack,0.001,1578,16396,0.0878,0.9575,0.1608
y26_p2k2_hi,test,backpack,0.005,1534,5619,0.2145,0.9308,0.3486
y26_p2k2_hi,test,backpack,0.01,1509,3596,0.2956,0.9157,0.4469
y26_p2k2_hi,test,backpack,0.02,1488,2310,0.3918,0.9029,0.5465
y26_p2k2_hi,test,backpack,0.03,1468,1801,0.4491,0.8908,0.5971
y26_p2k2_hi,test,backpack,0.05,1432,1381,0.5091,0.8689,0.6420
y26_p2k2_hi,test,backpack,0.07,1420,1162,0.5500,0.8617,0.6714
y26_p2k2_hi,test,backpack,0.1,1405,951,0.5963,0.8525,0.7018
y26_p2k2_hi,test,backpack,0.12,1395,855,0.6200,0.8465,0.7158
y26_p2k2_hi,test,backpack,0.15,1384,747,0.6495,0.8398,0.7325
y26_p2k2_hi,test,backpack,0.2,1361,611,0.6902,0.8258,0.7519
y26_p2k2_hi,test,backpack,0.25,1329,523,0.7176,0.8064,0.7594
y26_p2k2_hi,test,backpack,0.3,1307,442,0.7473,0.7931,0.7695
