epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2323.91,1.19907,0.91343,0.00375,0.78454,0.70851,0.79764,0.53342,1.09993,0.88997,0.00624,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,2401.01,1.19959,0.91417,0.00371,0.7847,0.70446,0.78856,0.53252,1.08958,0.9139,0.00612,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,2478.06,1.18565,0.89868,0.00369,0.78415,0.70956,0.79585,0.5362,1.08613,0.8978,0.00603,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,2555.42,1.17828,0.88491,0.00371,0.7931,0.71148,0.79644,0.53789,1.07666,0.89969,0.00604,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,2632.8,1.17446,0.87103,0.00362,0.79491,0.71364,0.79818,0.53659,1.07868,0.90073,0.0059,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
35,2709.62,1.16191,0.85003,0.00361,0.79104,0.72256,0.79925,0.53815,1.07042,0.9206,0.00581,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
36,2786.63,1.16319,0.84983,0.00364,0.80517,0.71328,0.80149,0.54009,1.07975,0.887,0.00593,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
37,2864.49,1.1551,0.82639,0.00362,0.7965,0.7306,0.80382,0.54303,1.07848,0.89349,0.00589,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
38,2942.31,1.14533,0.8142,0.00359,0.80149,0.72028,0.80424,0.54417,1.08149,0.88186,0.006,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714
39,3020.4,1.14517,0.81378,0.00358,0.80279,0.71906,0.8036,0.54513,1.07086,0.9022,0.00583,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
40,3097.86,1.13435,0.79699,0.00348,0.79356,0.73311,0.80364,0.54378,1.08276,0.88257,0.00597,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429
41,3175.18,1.12673,0.78166,0.0035,0.79353,0.72847,0.80132,0.544,1.06707,0.90587,0.00587,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
42,3252.28,1.12113,0.77127,0.00346,0.80474,0.73023,0.80644,0.54672,1.07535,0.87668,0.00591,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143
43,3329.47,1.11051,0.76252,0.00341,0.79634,0.72771,0.80463,0.54457,1.08063,0.88216,0.00599,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
44,3406.87,1.1065,0.74891,0.0034,0.80941,0.72612,0.80649,0.54643,1.07051,0.88154,0.00589,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857
45,3484.15,1.10696,0.73858,0.00337,0.79874,0.73106,0.80634,0.5454,1.08608,0.87863,0.00599,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
46,3561.6,1.09495,0.72371,0.00332,0.80443,0.73135,0.80458,0.547,1.07828,0.88156,0.00589,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571
47,3639.4,1.08626,0.70898,0.00332,0.82524,0.71834,0.80505,0.54677,1.0755,0.88664,0.00585,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
48,3716.82,1.07769,0.70824,0.00328,0.81328,0.72227,0.80311,0.54576,1.07156,0.88735,0.0058,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286
49,3794.04,1.07123,0.70084,0.00323,0.80131,0.73512,0.8022,0.54521,1.07595,0.89975,0.00584,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
50,3870.72,1.0654,0.69394,0.00318,0.79959,0.73477,0.80271,0.54453,1.07185,0.90912,0.00581,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
51,3947.76,1.06971,0.68605,0.00316,0.79628,0.73749,0.79852,0.54396,1.06946,0.90449,0.00577,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
52,4024.97,1.05463,0.66793,0.00317,0.80659,0.7302,0.80162,0.54536,1.0765,0.90553,0.00587,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714
53,4102.69,1.04891,0.65593,0.00314,0.8099,0.72725,0.80329,0.54562,1.07736,0.8951,0.00583,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571
54,4179.72,1.035,0.6376,0.00315,0.81345,0.72821,0.80556,0.5467,1.07301,0.89677,0.00573,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429
55,4257.35,1.03501,0.64212,0.00308,0.80798,0.7302,0.80448,0.54625,1.0801,0.90561,0.00578,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286
56,4335.26,1.02906,0.64021,0.00304,0.80037,0.7338,0.80273,0.54366,1.08813,0.92111,0.00593,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143
57,4413.04,1.0167,0.62682,0.00301,0.80639,0.73256,0.80212,0.543,1.08181,0.92586,0.0058,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
58,4490.87,1.01203,0.6147,0.00296,0.80863,0.73093,0.79852,0.54153,1.08111,0.9353,0.00582,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857
59,4568.05,1.00687,0.60598,0.00297,0.81294,0.72799,0.79997,0.54082,1.08466,0.9313,0.00585,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714
60,4644.76,0.99917,0.59374,0.00293,0.81382,0.72981,0.79978,0.54218,1.08621,0.92809,0.00585,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571
61,4723.19,0.944,0.49172,0.00315,0.81691,0.7241,0.79855,0.54154,1.08805,0.94629,0.00585,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
62,4798.82,0.92387,0.46675,0.00305,0.81368,0.72527,0.79806,0.54114,1.08845,0.94267,0.00588,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286
63,4874.85,0.90912,0.45458,0.00302,0.8114,0.72901,0.79546,0.5399,1.09233,0.95178,0.00594,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143
64,4951.52,0.90055,0.44382,0.00297,0.8117,0.72607,0.79433,0.53834,1.09421,0.95452,0.00594,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
65,5026.45,0.8949,0.43808,0.00291,0.80858,0.72796,0.79424,0.53798,1.09303,0.96194,0.00591,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571
66,5100.42,0.88674,0.42871,0.00286,0.80172,0.73557,0.79284,0.53676,1.09246,0.96697,0.0059,0.00242143,0.000807143,0.00242143,0.000807143,0.00242143,0.000807143,0.00242143,0.000807143
67,5175.65,0.88015,0.4227,0.00284,0.80391,0.73462,0.79182,0.53677,1.09254,0.97459,0.00589,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714
68,5251.15,0.87049,0.41562,0.0028,0.80992,0.72985,0.791,0.53619,1.09456,0.97865,0.00591,0.00157286,0.000524286,0.00157286,0.000524286,0.00157286,0.000524286,0.00157286,0.000524286
69,5327.37,0.86551,0.41112,0.00279,0.80766,0.73294,0.79076,0.53495,1.09606,0.97993,0.00591,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857
70,5402.23,0.85707,0.39881,0.00274,0.80856,0.73187,0.79048,0.53417,1.09675,0.98552,0.00591,0.000724286,0.000241429,0.000724286,0.000241429,0.000724286,0.000241429,0.000724286,0.000241429
