epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2271.97,1.19903,0.91779,0.00375,0.77187,0.72041,0.79802,0.53481,1.09601,0.90016,0.00623,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,2348.02,1.19979,0.9152,0.00373,0.78475,0.70956,0.79452,0.53661,1.08369,0.91809,0.00605,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,2423.55,1.18482,0.90552,0.00369,0.79539,0.7226,0.8004,0.54031,1.07479,0.89526,0.00599,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,2499.53,1.17919,0.89167,0.00371,0.78872,0.71976,0.79638,0.53594,1.08245,0.903,0.00597,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,2574.63,1.17337,0.87662,0.00364,0.78708,0.72064,0.7987,0.54012,1.08324,0.89712,0.00606,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
35,2650.49,1.16258,0.86431,0.00361,0.80878,0.699,0.79616,0.53525,1.0875,0.91502,0.00616,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
36,2725.69,1.16175,0.84632,0.00363,0.8116,0.71461,0.80433,0.54183,1.08899,0.88755,0.00619,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
37,2801.43,1.15285,0.83473,0.0036,0.79467,0.72638,0.80434,0.54194,1.09008,0.88583,0.00608,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
38,2877.54,1.14556,0.81927,0.00358,0.7839,0.72772,0.80461,0.54359,1.0789,0.8844,0.00604,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714
39,2953.26,1.14233,0.81483,0.00357,0.79192,0.7274,0.80387,0.54571,1.08275,0.90036,0.0062,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
40,3028.82,1.13026,0.79381,0.00348,0.80231,0.72314,0.80274,0.54464,1.08752,0.89044,0.00619,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429
