epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2272.69,1.25472,0.83961,0.00398,0.78609,0.71507,0.79819,0.53044,1.13296,0.8425,0.00638,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,2348.7,1.25553,0.84354,0.00395,0.79073,0.7012,0.79449,0.52906,1.13281,0.8694,0.00645,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,2424.2,1.2425,0.83548,0.00392,0.79611,0.71789,0.80446,0.53848,1.1245,0.82894,0.00632,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,2499.91,1.22922,0.82243,0.0039,0.79065,0.72494,0.80373,0.5373,1.11869,0.82712,0.00624,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,2575.4,1.22423,0.80479,0.00384,0.79487,0.71904,0.80172,0.5366,1.10666,0.8315,0.00609,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
35,2651.13,1.2163,0.79871,0.00382,0.78931,0.72334,0.80399,0.53579,1.12094,0.83856,0.00619,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
36,2726.35,1.21315,0.78526,0.00383,0.79349,0.72093,0.8015,0.53469,1.11901,0.83251,0.00614,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
37,2801.98,1.20336,0.77224,0.00381,0.81253,0.71407,0.80464,0.5373,1.1235,0.84286,0.00632,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
38,2877.87,1.19588,0.76587,0.00378,0.80923,0.72316,0.81063,0.54331,1.12512,0.82799,0.00636,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714
39,2953.08,1.18928,0.75928,0.00375,0.79364,0.71825,0.80262,0.53954,1.11989,0.83642,0.00626,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
40,3028.71,1.17933,0.73776,0.00368,0.79078,0.73011,0.80695,0.54344,1.11485,0.83041,0.00628,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429
41,3104.67,1.17448,0.73564,0.0037,0.80123,0.7267,0.807,0.54301,1.10713,0.83314,0.0061,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
42,3180.5,1.16845,0.71935,0.00365,0.80051,0.73356,0.80978,0.54388,1.10809,0.82624,0.00616,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143
43,3256.12,1.15736,0.71363,0.00359,0.79496,0.73838,0.80901,0.5451,1.10757,0.83154,0.00609,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
44,3331.71,1.15566,0.70291,0.0036,0.79321,0.73385,0.80687,0.54307,1.11999,0.833,0.00626,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857
45,3407.41,1.14909,0.69161,0.00353,0.81405,0.72535,0.80817,0.54389,1.11231,0.83039,0.00605,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
46,3483.11,1.13841,0.68147,0.0035,0.81365,0.73202,0.81272,0.54776,1.10606,0.82973,0.00615,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571
47,3558.8,1.1308,0.6644,0.0035,0.80617,0.73328,0.80985,0.54616,1.11126,0.83541,0.00618,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
48,3634.34,1.12193,0.66301,0.00346,0.81237,0.73555,0.81269,0.54988,1.10439,0.83305,0.00604,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286
49,3709.64,1.1131,0.64736,0.00339,0.82261,0.73383,0.81587,0.55136,1.10668,0.8332,0.00604,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
50,3785.49,1.10672,0.64747,0.00336,0.80654,0.73388,0.81168,0.5491,1.10246,0.83648,0.006,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
51,3861.13,1.10859,0.63841,0.00332,0.80911,0.74309,0.81444,0.54943,1.10402,0.82933,0.00599,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
52,3936.57,1.09574,0.62455,0.00333,0.81939,0.73043,0.80918,0.54687,1.10609,0.84503,0.00604,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714
53,4011.94,1.08855,0.61895,0.0033,0.81598,0.72761,0.80908,0.54573,1.1084,0.84067,0.00605,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571
54,4087.26,1.07379,0.61034,0.0033,0.81126,0.73388,0.80778,0.5436,1.11034,0.85638,0.00602,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429
55,4163.3,1.07349,0.60408,0.00324,0.81126,0.73505,0.80795,0.54443,1.11037,0.85425,0.00606,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286
56,4238.96,1.06672,0.59227,0.00319,0.81276,0.73572,0.80855,0.54481,1.11395,0.85204,0.0061,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143
57,4314.48,1.05381,0.58206,0.00316,0.81451,0.73239,0.80805,0.54524,1.10737,0.86039,0.00599,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
58,4390.35,1.04775,0.57479,0.0031,0.81581,0.73345,0.80654,0.54481,1.10897,0.86662,0.00601,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857
59,4466.21,1.04346,0.57584,0.00313,0.82129,0.72787,0.80603,0.54298,1.1101,0.87855,0.00604,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714
60,4542.05,1.03753,0.56057,0.00308,0.82104,0.72849,0.80609,0.54298,1.11295,0.8715,0.0061,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571
61,4618.12,0.97435,0.47905,0.00329,0.80853,0.73492,0.80503,0.54165,1.11436,0.87422,0.0061,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
62,4693.27,0.95367,0.45301,0.00318,0.80773,0.73878,0.80534,0.54201,1.1193,0.88158,0.00616,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286
63,4767.81,0.94194,0.43859,0.00316,0.80746,0.73735,0.80442,0.54136,1.12049,0.88865,0.00615,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143
64,4842.32,0.93293,0.43249,0.00312,0.81588,0.72833,0.80279,0.5403,1.12172,0.89497,0.00615,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
65,4916.52,0.92342,0.42813,0.00305,0.81373,0.72988,0.80165,0.53833,1.12329,0.90863,0.00616,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571
66,4990.15,0.91574,0.41959,0.003,0.81104,0.73034,0.79947,0.53788,1.12474,0.91811,0.00618,0.00242143,0.000807143,0.00242143,0.000807143,0.00242143,0.000807143,0.00242143,0.000807143
67,5065.36,0.90933,0.41104,0.00299,0.80442,0.73411,0.79815,0.53703,1.12805,0.91446,0.00622,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714
68,5138.42,0.89881,0.40448,0.00292,0.80597,0.73358,0.79696,0.53624,1.13048,0.91853,0.00623,0.00157286,0.000524286,0.00157286,0.000524286,0.00157286,0.000524286,0.00157286,0.000524286
69,5211.19,0.89597,0.39865,0.00292,0.80891,0.73438,0.79652,0.53586,1.13202,0.9269,0.00625,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857
70,5284.05,0.88572,0.38919,0.00285,0.80817,0.73394,0.79494,0.53506,1.1335,0.92515,0.00628,0.000724286,0.000241429,0.000724286,0.000241429,0.000724286,0.000241429,0.000724286,0.000241429
