epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/cls_loss,val/box_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,1543.93,0.81364,0.96508,0.61932,0.76835,0.67304,0.76346,0.49565,0.91156,0.69839,0.5646,0.00731286,0.00731286,0.00731286
21,1622.05,0.79955,0.94939,0.61502,0.77253,0.67454,0.76454,0.49834,0.91122,0.69326,0.56384,0.00717143,0.00717143,0.00717143
22,1697.07,0.80181,0.9435,0.62075,0.76509,0.67587,0.76247,0.49447,0.89755,0.69252,0.56221,0.00703,0.00703,0.00703
23,1774.49,0.80772,0.92685,0.62519,0.77164,0.68352,0.77246,0.50464,0.88216,0.6785,0.56017,0.00688857,0.00688857,0.00688857
24,1852.23,0.80545,0.91384,0.62763,0.76971,0.67984,0.77155,0.50729,0.87868,0.67927,0.55559,0.00674714,0.00674714,0.00674714
25,1927.12,0.79369,0.90656,0.62224,0.77037,0.67899,0.77467,0.51076,0.87559,0.6732,0.55553,0.00660571,0.00660571,0.00660571
26,2001.91,0.78764,0.89282,0.6254,0.78274,0.68191,0.77576,0.50554,0.88326,0.67716,0.55584,0.00646429,0.00646429,0.00646429
27,2076.56,0.7894,0.88622,0.62666,0.77644,0.68095,0.77346,0.5112,0.87535,0.66878,0.55222,0.00632286,0.00632286,0.00632286
28,2151.26,0.79121,0.87409,0.63315,0.75433,0.70513,0.77994,0.51492,0.85637,0.66697,0.55332,0.00618143,0.00618143,0.00618143
29,2225.89,0.78844,0.86432,0.63449,0.78145,0.70232,0.79119,0.52069,0.84545,0.66875,0.54859,0.00604,0.00604,0.00604
30,2303.33,0.79144,0.85506,0.63698,0.78442,0.70258,0.78851,0.52324,0.8457,0.65829,0.54539,0.00589857,0.00589857,0.00589857
31,2379.32,0.78198,0.8382,0.6387,0.76654,0.71217,0.78843,0.52352,0.84005,0.65069,0.54588,0.00575714,0.00575714,0.00575714
32,2456.87,0.7931,0.84359,0.6433,0.79065,0.70828,0.79334,0.52882,0.82705,0.64766,0.5438,0.00561571,0.00561571,0.00561571
33,2532.71,0.78685,0.82721,0.64563,0.78028,0.70569,0.79059,0.52337,0.83428,0.65091,0.5458,0.00547429,0.00547429,0.00547429
34,2607.7,0.78226,0.81788,0.64462,0.76999,0.71678,0.79118,0.52671,0.827,0.64695,0.54226,0.00533286,0.00533286,0.00533286
35,2683.49,0.7805,0.81142,0.64572,0.80406,0.69815,0.79324,0.5307,0.82614,0.63931,0.54056,0.00519143,0.00519143,0.00519143
36,2758.56,0.77807,0.80823,0.64591,0.79809,0.71024,0.80012,0.53373,0.81418,0.64275,0.54089,0.00505,0.00505,0.00505
37,2833.58,0.77496,0.7926,0.64945,0.78831,0.71045,0.79576,0.5324,0.81973,0.64346,0.54024,0.00490857,0.00490857,0.00490857
38,2911.38,0.77099,0.78085,0.64826,0.80393,0.7065,0.80179,0.53734,0.81041,0.63513,0.53663,0.00476714,0.00476714,0.00476714
39,2989.32,0.77011,0.77685,0.6514,0.79225,0.7116,0.79884,0.53595,0.8096,0.63379,0.53687,0.00462571,0.00462571,0.00462571
40,3067.19,0.78124,0.76766,0.65985,0.79934,0.7031,0.79689,0.53275,0.81257,0.63949,0.54007,0.00448429,0.00448429,0.00448429
41,3143.79,0.77737,0.76455,0.66258,0.79596,0.71761,0.80465,0.54079,0.79728,0.63086,0.53495,0.00434286,0.00434286,0.00434286
42,3221.75,0.77605,0.74986,0.66318,0.79897,0.71819,0.80554,0.54238,0.79376,0.63046,0.53668,0.00420143,0.00420143,0.00420143
43,3297,0.77485,0.74276,0.66717,0.79539,0.72032,0.803,0.5412,0.79263,0.63447,0.53949,0.00406,0.00406,0.00406
44,3374.71,0.77106,0.73689,0.66576,0.78928,0.72804,0.80465,0.54155,0.79256,0.6288,0.53564,0.00391857,0.00391857,0.00391857
45,3451.85,0.77463,0.72714,0.67254,0.79315,0.72189,0.80513,0.54331,0.78163,0.63064,0.53686,0.00377714,0.00377714,0.00377714
46,3529.34,0.76748,0.71785,0.67037,0.80139,0.71764,0.80315,0.53783,0.79188,0.63483,0.53863,0.00363571,0.00363571,0.00363571
47,3607.15,0.77178,0.71339,0.67489,0.8042,0.72116,0.80586,0.54397,0.7808,0.62693,0.53623,0.00349429,0.00349429,0.00349429
48,3684.86,0.76829,0.7047,0.67551,0.79172,0.72588,0.80534,0.54236,0.78287,0.62733,0.53702,0.00335286,0.00335286,0.00335286
49,3762.72,0.76787,0.69877,0.6793,0.7997,0.72793,0.80919,0.54359,0.77454,0.62685,0.53577,0.00321143,0.00321143,0.00321143
50,3840.25,0.76856,0.69058,0.68258,0.79692,0.72453,0.80788,0.54407,0.77782,0.62522,0.53523,0.00307,0.00307,0.00307
51,3915.9,0.76438,0.68357,0.68369,0.79602,0.72617,0.80685,0.54436,0.77733,0.62488,0.5359,0.00292857,0.00292857,0.00292857
52,3990.61,0.75527,0.67677,0.68116,0.79921,0.73156,0.80795,0.54578,0.77516,0.62266,0.53608,0.00278714,0.00278714,0.00278714
53,4065.38,0.76069,0.6686,0.68761,0.81267,0.72694,0.80963,0.54527,0.77268,0.62289,0.53673,0.00264571,0.00264571,0.00264571
54,4143.4,0.76263,0.66156,0.69044,0.80544,0.7299,0.80895,0.54693,0.77526,0.62016,0.5343,0.00250429,0.00250429,0.00250429
55,4220.65,0.75879,0.65465,0.69302,0.7986,0.7327,0.81,0.54696,0.77285,0.62273,0.53637,0.00236286,0.00236286,0.00236286
56,4298.45,0.7603,0.64929,0.69549,0.79944,0.73388,0.80894,0.54759,0.77496,0.62042,0.53601,0.00222143,0.00222143,0.00222143
57,4373.83,0.76127,0.64374,0.69881,0.8119,0.72563,0.80949,0.54673,0.77761,0.6218,0.53583,0.00208,0.00208,0.00208
58,4450.85,0.75697,0.63605,0.69902,0.80137,0.73057,0.80822,0.54559,0.7783,0.62112,0.53587,0.00193857,0.00193857,0.00193857
59,4527.7,0.75552,0.62756,0.70204,0.80815,0.73045,0.81023,0.54693,0.77417,0.61953,0.53543,0.00179714,0.00179714,0.00179714
60,4603.87,0.75145,0.61998,0.70202,0.80913,0.72797,0.80925,0.54631,0.77038,0.61843,0.53528,0.00165571,0.00165571,0.00165571
61,4683.08,0.74096,0.57813,0.70829,0.80074,0.7294,0.80667,0.54437,0.77816,0.62329,0.53735,0.00151429,0.00151429,0.00151429
62,4758.97,0.74052,0.56005,0.71158,0.80358,0.73121,0.80647,0.54397,0.7751,0.6249,0.53908,0.00137286,0.00137286,0.00137286
63,4837.48,0.73575,0.54787,0.71248,0.80649,0.72973,0.80627,0.54458,0.77425,0.62505,0.53972,0.00123143,0.00123143,0.00123143
64,4916.25,0.73438,0.54185,0.7144,0.80078,0.73026,0.80497,0.54367,0.77767,0.6259,0.54054,0.00109,0.00109,0.00109
65,4992.09,0.7263,0.53144,0.7111,0.80419,0.72796,0.8043,0.54298,0.77912,0.6262,0.54049,0.000948571,0.000948571,0.000948571
66,5068.72,0.72409,0.52278,0.71765,0.8049,0.72696,0.80432,0.54227,0.77865,0.62644,0.54097,0.000807143,0.000807143,0.000807143
67,5143.73,0.71958,0.51453,0.71596,0.79719,0.73461,0.80427,0.54218,0.77877,0.62552,0.54036,0.000665714,0.000665714,0.000665714
68,5218.7,0.71813,0.50908,0.71802,0.80287,0.72997,0.80389,0.54143,0.78161,0.6266,0.54155,0.000524286,0.000524286,0.000524286
69,5296.56,0.71362,0.50292,0.71831,0.80401,0.72846,0.80391,0.54145,0.78324,0.62719,0.54236,0.000382857,0.000382857,0.000382857
70,5371.94,0.71373,0.49523,0.72225,0.79204,0.73702,0.80316,0.54084,0.78646,0.62799,0.54303,0.000241429,0.000241429,0.000241429
