ALL RUNS — confusion leak (TEST split)
matrix[predicted, true]; 'missed' = predicted as background

run                       true           n  correct   as_backpack        as_bag    as_trolley   missed
y26_nwd50_sbb             backpack    1648     78.7           0.0           3.7           1.8     15.8
y26_nwd50_sbb             bag         1330     69.4           4.1           0.0           3.2     23.3
y26_nwd50_sbb             trolley     3194     85.3           0.9           1.3           0.0     12.4
y26_nwd50_scb3_sbb        backpack    1648     78.6           0.0           4.1           1.5     15.9
y26_nwd50_scb3_sbb        bag         1330     67.6           4.9           0.0           4.0     23.5
y26_nwd50_scb3_sbb        trolley     3194     85.4           0.8           1.6           0.0     12.2
y26_p2_b32                backpack    1648     77.5           0.0           4.0           1.3     17.1
y26_p2_b32                bag         1330     65.9           5.0           0.0           4.1     24.9
y26_p2_b32                trolley     3194     85.5           0.7           1.5           0.0     12.4
y26_p2_dys3               backpack    1648     77.1           0.0           4.1           1.8     16.9
y26_p2_dys3               bag         1330     66.2           3.8           0.0           3.9     26.1
y26_p2_dys3               trolley     3194     85.0           0.7           1.5           0.0     12.8
y26_p2_dys_gctx           backpack    1648     78.2           0.0           3.9           1.8     16.0
y26_p2_dys_gctx           bag         1330     66.8           3.9           0.0           2.9     26.5
y26_p2_dys_gctx           trolley     3194     85.0           0.7           1.5           0.0     12.8
y26_p2_dys_snake          backpack    1648     77.2           0.0           4.8           1.4     16.6
y26_p2_dys_snake          bag         1330     69.2           3.6           0.0           3.5     23.7
y26_p2_dys_snake          trolley     3194     83.8           0.8           2.0           0.0     13.4
y26_p2_dysample           backpack    1648     78.0           0.0           4.3           1.5     16.2
y26_p2_dysample           bag         1330     69.3           3.0           0.0           3.4     24.3
y26_p2_dysample           trolley     3194     84.7           0.8           1.7           0.0     12.9
y26_p2_snake_p3p4         backpack    1648     78.1           0.0           4.1           1.7     16.1
y26_p2_snake_p3p4         bag         1330     67.4           4.5           0.0           3.2     24.8
y26_p2_snake_p3p4         trolley     3194     85.0           0.7           1.6           0.0     12.7
y26_p2_wide               backpack    1648     78.5           0.0           3.5           1.5     16.5
y26_p2_wide               bag         1330     67.3           4.7           0.0           3.5     24.5
y26_p2_wide               trolley     3194     85.9           0.6           1.3           0.0     12.2
y26_p2k1_lo               backpack    1648     78.5           0.0           3.5           1.6     16.4
y26_p2k1_lo               bag         1330     69.1           3.8           0.0           3.4     23.7
y26_p2k1_lo               trolley     3194     85.5           0.8           2.0           0.0     11.7
y26_p2k2_hi               backpack    1648     79.2           0.0           3.9           1.4     15.5
y26_p2k2_hi               bag         1330     70.7           4.4           0.0           2.6     22.3
y26_p2k2_hi               trolley     3194     85.8           0.7           1.7           0.0     11.8
y26_p2k4_hi               backpack    1648     79.2           0.0           3.2           1.6     15.9
y26_p2k4_hi               bag         1330     69.2           3.9           0.0           3.8     23.0
y26_p2k4_hi               trolley     3194     85.2           0.8           1.6           0.0     12.5
y26_s10_bal               backpack    1648     77.9           0.0           4.1           1.3     16.6
y26_s10_bal               bag         1330     68.7           4.4           0.0           3.2     23.8
y26_s10_bal               trolley     3194     85.0           1.0           1.5           0.0     12.5
y26_s10_hi                backpack    1648     78.5           0.0           4.0           1.5     16.1
y26_s10_hi                bag         1330     68.5           3.5           0.0           3.5     24.6
y26_s10_hi                trolley     3194     84.4           0.9           1.8           0.0     12.9
y26_s10_p45               backpack    1648     78.8           0.0           4.3           1.6     15.3
y26_s10_p45               bag         1330     68.7           4.4           0.0           2.9     23.9
y26_s10_p45               trolley     3194     84.9           0.7           1.9           0.0     12.6
y26_s10_p5                backpack    1648     78.3           0.0           3.8           1.6     16.4
y26_s10_p5                bag         1330     68.7           4.4           0.0           3.2     23.8
y26_s10_p5                trolley     3194     85.2           0.8           1.8           0.0     12.3
y26_sbb_inv50             backpack    1648     76.8           0.0           4.4           1.2     17.7
y26_sbb_inv50             bag         1330     67.7           3.1           0.0           3.7     25.6
y26_sbb_inv50             trolley     3194     83.9           0.9           1.7           0.0     13.6
y26_sbb_q50               backpack    1648     76.8           0.0           3.9           1.3     18.0
y26_sbb_q50               bag         1330     65.6           4.9           0.0           3.8     25.7
y26_sbb_q50               trolley     3194     84.8           0.8           1.4           0.0     13.0
y26_scb2_sbb50            backpack    1648     78.6           0.0           3.6           1.0     16.8
y26_scb2_sbb50            bag         1330     67.2           4.8           0.0           3.6     24.4
y26_scb2_sbb50            trolley     3194     84.8           0.8           1.6           0.0     12.8
y26_scb3_sbb25            backpack    1648     77.8           0.0           4.4           1.5     16.3
y26_scb3_sbb25            bag         1330     68.1           3.8           0.0           4.4     23.7
y26_scb3_sbb25            trolley     3194     85.7           0.9           1.7           0.0     11.7
y26_scb3_sbb50            backpack    1648     77.4           0.0           3.7           1.5     17.4
y26_scb3_sbb50            bag         1330     67.5           4.2           0.0           3.5     24.7
y26_scb3_sbb50            trolley     3194     86.1           0.7           1.5           0.0     11.7
y26_scb3_sbb50_pw25       backpack    1648     78.3           0.0           4.2           1.1     16.4
y26_scb3_sbb50_pw25       bag         1330     68.3           4.6           0.0           3.8     23.4
y26_scb3_sbb50_pw25       trolley     3194     85.3           0.9           1.4           0.0     12.4
y26_scb3_sbb50_pw50       backpack    1648     78.8           0.0           3.5           1.5     16.3
y26_scb3_sbb50_pw50       bag         1330     67.9           5.6           0.0           3.2     23.3
y26_scb3_sbb50_pw50       trolley     3194     84.7           0.9           1.8           0.0     12.7
y26_scb3_sbb75            backpack    1648     75.8           0.0           4.8           1.3     18.0
y26_scb3_sbb75            bag         1330     67.9           4.3           0.0           2.9     24.9
y26_scb3_sbb75            trolley     3194     83.8           0.8           1.9           0.0     13.5
y26_scb3_snl25            backpack    1648     76.9           0.0           4.8           1.0     17.2
y26_scb3_snl25            bag         1330     67.0           4.2           0.0           4.1     24.7
y26_scb3_snl25            trolley     3194     85.0           0.8           1.4           0.0     12.8
y26_scb3_snl25_sbb        backpack    1648     77.6           0.0           4.3           1.1     17.0
y26_scb3_snl25_sbb        bag         1330     67.4           4.4           0.0           3.4     24.8
y26_scb3_snl25_sbb        trolley     3194     84.6           0.7           1.5           0.0     13.2
y26_scb3_snl50            backpack    1648     78.3           0.0           4.1           1.1     16.5
y26_scb3_snl50            bag         1330     66.9           5.2           0.0           3.5     24.4
y26_scb3_snl50            trolley     3194     84.7           1.0           1.8           0.0     12.4
y26_scb_b3                backpack    1648     76.2           0.0           4.4           1.6     17.8
y26_scb_b3                bag         1330     69.5           3.8           0.0           3.5     23.2
y26_scb_b3                trolley     3194     85.0           0.7           1.8           0.0     12.6
y26_scb_b3_arch           backpack    1648     78.5           0.0           4.2           1.5     15.8
y26_scb_b3_arch           bag         1330     69.3           3.8           0.0           3.2     23.6
y26_scb_b3_arch           trolley     3194     85.6           0.8           1.4           0.0     12.2
y26_scb_b4s2              backpack    1648     77.5           0.0           3.9           1.3     17.4
y26_scb_b4s2              bag         1330     66.5           4.7           0.0           4.2     24.6
y26_scb_b4s2              trolley     3194     85.2           0.8           1.3           0.0     12.7
y26_scb_r128              backpack    1648     78.0           0.0           4.1           1.3     16.6
y26_scb_r128              bag         1330     67.9           4.9           0.0           3.8     23.4
y26_scb_r128              trolley     3194     84.3           0.8           1.6           0.0     13.3
y26_scb_r32               backpack    1648     76.5           0.0           4.9           1.5     17.2
y26_scb_r32               bag         1330     68.9           4.0           0.0           3.5     23.7
y26_scb_r32               trolley     3194     86.7           0.6           1.4           0.0     11.4
y26_scb_s2                backpack    1648     78.6           0.0           3.3           1.6     16.5
y26_scb_s2                bag         1330     66.6           5.3           0.0           4.6     23.5
y26_scb_s2                trolley     3194     85.7           0.6           1.2           0.0     12.5
y26_scb_s4                backpack    1648     77.8           0.0           3.6           1.7     16.9
y26_scb_s4                bag         1330     66.4           5.0           0.0           4.5     24.1
y26_scb_s4                trolley     3194     85.3           0.9           1.4           0.0     12.4
y26_sharp_r50             backpack    1648     77.0           0.0           4.2           1.3     17.4
y26_sharp_r50             bag         1330     68.4           4.1           0.0           3.0     24.4
y26_sharp_r50             trolley     3194     85.5           0.8           1.4           0.0     12.3
y26_sharp_r75             backpack    1648     78.5           0.0           4.2           1.6     15.7
y26_sharp_r75             bag         1330     67.4           4.2           0.0           3.8     24.7
y26_sharp_r75             trolley     3194     85.1           0.8           1.7           0.0     12.3
y26_snl1_p25              backpack    1648     77.6           0.0           4.1           1.3     17.0
y26_snl1_p25              bag         1330     66.1           4.1           0.0           4.1     25.6
y26_snl1_p25              trolley     3194     84.5           0.8           1.6           0.0     13.2
y26_snl1_p25_arch         backpack    1648     77.4           0.0           4.1           1.5     17.0
y26_snl1_p25_arch         bag         1330     66.6           4.1           0.0           3.9     25.4
y26_snl1_p25_arch         trolley     3194     85.0           1.1           1.2           0.0     12.7
y26_snl1_p50              backpack    1648     76.9           0.0           3.9           1.3     17.8
y26_snl1_p50              bag         1330     66.9           4.2           0.0           3.2     25.6
y26_snl1_p50              trolley     3194     83.7           0.9           1.7           0.0     13.6
y26_snl1_sbb              backpack    1648     76.1           0.0           4.6           1.7     17.6
y26_snl1_sbb              bag         1330     66.7           4.0           0.0           3.8     25.6
y26_snl1_sbb              trolley     3194     84.2           0.7           1.6           0.0     13.5
y26_snt_t25               backpack    1648     76.1           0.0           3.7           1.2     19.0
y26_snt_t25               bag         1330     64.7           4.4           0.0           3.2     27.7
y26_snt_t25               trolley     3194     82.8           0.6           1.3           0.0     15.3
y26_snt_t50               backpack    1648     77.4           0.0           3.5           1.7     17.5
y26_snt_t50               bag         1330     68.1           4.1           0.0           3.1     24.7
y26_snt_t50               trolley     3194     84.4           0.8           1.5           0.0     13.2
y26_sqrt0703              backpack    1648     77.8           0.0           3.6           1.5     17.1
y26_sqrt0703              bag         1330     68.2           4.5           0.0           3.6     23.7
y26_sqrt0703              trolley     3194     85.3           0.9           1.7           0.0     12.1
y26_sqrt0703-4            backpack    1648     63.2           0.0           3.0           1.4     32.4
y26_sqrt0703-4            bag         1330     28.1           9.8           0.0           2.8     59.3
y26_sqrt0703-4            trolley     3194     63.2           0.8           1.1           0.0     34.9
y26_stock_b32             backpack    1648     79.8           0.0           4.1           1.4     14.8
y26_stock_b32             bag         1330     67.0           4.7           0.0           4.3     24.1
y26_stock_b32             trolley     3194     84.9           1.0           1.9           0.0     12.2
y26_swa_a06_03            backpack    1648     78.2           0.0           4.2           1.3     16.3
y26_swa_a06_03            bag         1330     67.4           4.6           0.0           3.6     24.4
y26_swa_a06_03            trolley     3194     84.8           0.6           1.5           0.0     13.0
y26_swa_a06_b15           backpack    1648     78.2           0.0           3.9           1.3     16.6
y26_swa_a06_b15           bag         1330     67.2           3.9           0.0           3.6     25.3
y26_swa_a06_b15           trolley     3194     85.4           0.6           1.5           0.0     12.4
y26_swa_a06_b25           backpack    1648     77.2           0.0           3.8           1.8     17.2
y26_swa_a06_b25           bag         1330     66.8           4.5           0.0           4.0     24.7
y26_swa_a06_b25           trolley     3194     84.8           0.9           1.1           0.0     13.2
