run,true_class,gt_total,correct,as_bag,as_trolley,as_background,misclassified_total,as_backpack
y26_scb3_sbb50,bag,1330,67.52,,3.53,24.74,7.74,4.21
y26_scb3_sbb50,trolley,3194,86.07,1.53,,11.71,2.22,0.69
y26_scb3_sbb50_pw25,backpack,1648,78.28,4.25,1.09,16.38,5.34,
y26_scb3_sbb50_pw25,bag,1330,68.27,,3.76,23.38,8.35,4.59
y26_scb3_sbb50_pw25,trolley,3194,85.32,1.41,,12.37,2.32,0.91
y26_scb3_sbb50_pw50,backpack,1648,78.76,3.46,1.46,16.32,4.92,
y26_scb3_sbb50_pw50,bag,1330,67.89,,3.23,23.31,8.8,5.56
y26_scb3_sbb50_pw50,trolley,3194,84.66,1.75,,12.68,2.66,0.91
y26_scb3_sbb75,backpack,1648,75.85,4.85,1.27,18.02,6.13,
y26_scb3_sbb75,bag,1330,67.89,,2.93,24.89,7.22,4.29
y26_scb3_sbb75,trolley,3194,83.84,1.88,,13.46,2.69,0.81
y26_scb3_snl25,backpack,1648,76.94,4.79,1.03,17.23,5.83,
y26_scb3_snl25,bag,1330,66.99,,4.06,24.74,8.27,4.21
y26_scb3_snl25,trolley,3194,85.0,1.38,,12.77,2.22,0.85
y26_scb3_snl25_sbb,backpack,1648,77.61,4.31,1.09,16.99,5.4,
y26_scb3_snl25_sbb,bag,1330,67.37,,3.38,24.81,7.82,4.44
y26_scb3_snl25_sbb,trolley,3194,84.6,1.5,,13.18,2.22,0.72
y26_scb3_snl50,backpack,1648,78.28,4.07,1.15,16.5,5.22,
y26_scb3_snl50,bag,1330,66.92,,3.46,24.44,8.65,5.19
y26_scb3_snl50,trolley,3194,84.72,1.82,,12.43,2.85,1.03
y26_scb_b3,backpack,1648,76.21,4.37,1.58,17.84,5.95,
y26_scb_b3,bag,1330,69.55,,3.46,23.23,7.22,3.76
y26_scb_b3,trolley,3194,85.0,1.75,,12.55,2.44,0.69
y26_scb_b3_arch,backpack,1648,78.46,4.25,1.46,15.84,5.7,
y26_scb_b3_arch,bag,1330,69.32,,3.23,23.61,7.07,3.83
y26_scb_b3_arch,trolley,3194,85.57,1.41,,12.24,2.19,0.78
y26_scb_b4s2,backpack,1648,77.49,3.88,1.27,17.35,5.16,
y26_scb_b4s2,bag,1330,66.54,,4.21,24.59,8.87,4.66
y26_scb_b4s2,trolley,3194,85.25,1.28,,12.68,2.07,0.78
y26_scb_r128,backpack,1648,77.97,4.13,1.27,16.63,5.4,
y26_scb_r128,bag,1330,67.89,,3.83,23.38,8.72,4.89
y26_scb_r128,trolley,3194,84.31,1.63,,13.31,2.38,0.75
y26_scb_r32,backpack,1648,76.46,4.92,1.46,17.17,6.37,
y26_scb_r32,bag,1330,68.87,,3.46,23.68,7.44,3.98
y26_scb_r32,trolley,3194,86.66,1.35,,11.4,1.94,0.59
y26_scb_s2,backpack,1648,78.58,3.28,1.64,16.5,4.92,
y26_scb_s2,bag,1330,66.62,,4.59,23.46,9.92,5.34
y26_scb_s2,trolley,3194,85.72,1.16,,12.49,1.78,0.63
y26_scb_s4,backpack,1648,77.85,3.58,1.7,16.87,5.28,
y26_scb_s4,bag,1330,66.39,,4.51,24.06,9.55,5.04
y26_scb_s4,trolley,3194,85.28,1.38,,12.43,2.29,0.91
y26_sharp_r50,backpack,1648,77.0,4.25,1.33,17.42,5.58,
y26_sharp_r50,bag,1330,68.42,,3.01,24.44,7.14,4.14
y26_sharp_r50,trolley,3194,85.54,1.35,,12.27,2.19,0.85
y26_sharp_r75,backpack,1648,78.46,4.25,1.58,15.72,5.83,
y26_sharp_r75,bag,1330,67.37,,3.76,24.66,7.97,4.21
y26_sharp_r75,trolley,3194,85.13,1.72,,12.34,2.54,0.81
y26_snl1_p25,backpack,1648,77.61,4.07,1.33,16.99,5.4,
y26_snl1_p25,bag,1330,66.09,,4.14,25.64,8.27,4.14
y26_snl1_p25,trolley,3194,84.5,1.6,,13.15,2.35,0.75
y26_snl1_p25_arch,backpack,1648,77.37,4.13,1.52,16.99,5.64,
y26_snl1_p25_arch,bag,1330,66.62,,3.91,25.41,7.97,4.06
y26_snl1_p25_arch,trolley,3194,84.97,1.19,,12.71,2.32,1.13
y26_snl1_p50,backpack,1648,76.94,3.88,1.33,17.84,5.22,
y26_snl1_p50,bag,1330,66.92,,3.23,25.64,7.44,4.21
y26_snl1_p50,trolley,3194,83.72,1.72,,13.62,2.66,0.94
y26_snl1_sbb,backpack,1648,76.09,4.61,1.7,17.6,6.31,
y26_snl1_sbb,bag,1330,66.69,,3.76,25.56,7.74,3.98
y26_snl1_sbb,trolley,3194,84.22,1.6,,13.46,2.32,0.72
y26_snt_t25,backpack,1648,76.09,3.7,1.21,18.99,4.92,
y26_snt_t25,bag,1330,64.66,,3.16,27.74,7.59,4.44
y26_snt_t25,trolley,3194,82.81,1.31,,15.28,1.91,0.59
y26_snt_t50,backpack,1648,77.37,3.46,1.7,17.48,5.16,
y26_snt_t50,bag,1330,68.12,,3.08,24.74,7.14,4.06
y26_snt_t50,trolley,3194,84.44,1.5,,13.24,2.32,0.81
y26_sqrt0703,backpack,1648,77.85,3.58,1.46,17.11,5.04,
y26_sqrt0703,bag,1330,68.2,,3.61,23.68,8.12,4.51
y26_sqrt0703,trolley,3194,85.35,1.69,,12.09,2.57,0.88
y26_sqrt0703-4,backpack,1648,63.23,2.97,1.4,32.4,4.37,
y26_sqrt0703-4,bag,1330,28.05,,2.78,59.32,12.63,9.85
y26_sqrt0703-4,trolley,3194,63.24,1.1,,34.91,1.85,0.75
y26_stock_b32,backpack,1648,79.79,4.07,1.4,14.75,5.46,
y26_stock_b32,bag,1330,66.99,,4.29,24.06,8.95,4.66
y26_stock_b32,trolley,3194,84.88,1.91,,12.24,2.88,0.97
y26_swa_a06_03,backpack,1648,78.16,4.25,1.33,16.26,5.58,
y26_swa_a06_03,bag,1330,67.37,,3.61,24.44,8.2,4.59
y26_swa_a06_03,trolley,3194,84.85,1.53,,12.99,2.16,0.63
y26_swa_a06_b15,backpack,1648,78.16,3.94,1.33,16.57,5.28,
y26_swa_a06_b15,bag,1330,67.22,,3.61,25.26,7.52,3.91
y26_swa_a06_b15,trolley,3194,85.44,1.53,,12.43,2.13,0.59
y26_swa_a06_b25,backpack,1648,77.18,3.82,1.76,17.23,5.58,
y26_swa_a06_b25,bag,1330,66.77,,3.98,24.74,8.5,4.51
y26_swa_a06_b25,trolley,3194,84.82,1.1,,13.15,2.04,0.94
y26_swa_a07_04,backpack,1648,75.12,4.85,1.33,18.69,6.19,
y26_swa_a07_04,bag,1330,67.37,,3.98,24.89,7.74,3.76
y26_swa_a07_04,trolley,3194,84.41,1.25,,13.9,1.69,0.44
y26_swa_a08_04,backpack,1648,77.18,4.61,1.88,16.32,6.49,
y26_swa_a08_04,bag,1330,68.27,,3.61,23.23,8.5,4.89
y26_swa_a08_04,trolley,3194,84.97,1.53,,12.68,2.35,0.81
y26_swa_a09_03,backpack,1648,78.58,4.67,1.33,15.41,6.01,
y26_swa_a09_03,bag,1330,67.44,,4.14,23.91,8.65,4.51
y26_swa_a09_03,trolley,3194,84.78,1.6,,12.46,2.76,1.16
y26_swa_a09_04,backpack,1648,78.76,3.94,1.15,16.14,5.1,
y26_swa_a09_04,bag,1330,68.35,,3.98,22.33,9.32,5.34
y26_swa_a09_04,trolley,3194,85.22,1.22,,12.74,2.04,0.81
y26_wide_starve,backpack,1648,79.19,4.07,1.4,15.35,5.46,
y26_wide_starve,bag,1330,67.89,,4.06,23.53,8.57,4.51
y26_wide_starve,trolley,3194,86.19,1.63,,11.71,2.1,0.47
